SNI 2007;;;
;;;
Detaljgrupp (Officiell kodstruktur);Detaljgrupp;Benämning ;
28.120;28120;Tillverkning av fluidteknisk utrustning;
28.130;28130;Tillverkning av andra pumpar och kompressorer;
28.140;28140;Tillverkning av andra kranar och ventiler;
28.150;28150;Tillverkning av lager, kugghjul och andra delar för kraftöverföring;
28.210;28210;Tillverkning av ugnar och brännare;
28.220;28220;Tillverkning av lyft- och godshanteringsanordningar;
28.230;28230;Tillverkning av kontorsmaskiner och kontorsutrustning (utom datorer och kringutrustning);
28.240;28240;Tillverkning av motordrivna handverktyg;
28.250;28250;Tillverkning av maskiner och apparater för kyla och ventilation utom för hushåll;
28.290;28290;Övrig tillverkning av maskiner för allmänt ändamål;
28.300;28300;Tillverkning av jord- och skogsbruksmaskiner;
28.410;28410;Tillverkning av verktygsmaskiner för metallbearbetning;
28.490;28490;Tillverkning av övriga verktygsmaskiner;
28.910;28910;Tillverkning av maskiner för metallurgi;
28.920;28920;Tillverkning av gruv-, bergbrytnings- och byggmaskiner;
28.930;28930;Tillverkning av maskiner för framställning av livsmedel, drycker och tobaksvaror;
28.940;28940;Tillverkning av maskiner för produktion av textil-, beklädnads- och lädervaror;
28.950;28950;Tillverkning av maskiner för produktion av massa, papper och papp;
28.960;28960;Tillverkning av maskiner för gummi och plast;
28.990;28990;Tillverkning av övriga specialmaskiner;
29.101;29101;Tillverkning av personbilar och andra lätta motorfordon;
29.102;29102;Tillverkning av lastbilar och andra tunga motorfordon;
29.200;29200;"Tillverkning av karosserier för motorfordon; tillverkning av släpfordon och påhängsvagnar";
29.310;29310;Tillverkning av elektrisk och elektronisk utrustning för motorfordon;
29.320;29320;Tillverkning av andra delar och tillbehör till motorfordon;
30.110;30110;Byggande av fartyg och flytande materiel;
30.120;30120;Byggande av fritidsbåtar;
30.200;30200;Tillverkning av rälsfordon;
30.300;30300;Tillverkning av luftfartyg, rymdfarkoster o.d.;
30.400;30400;Tillverkning av militära stridsfordon;
30.910;30910;Tillverkning av motorcyklar;
30.920;30920;Tillverkning av cyklar och invalidfordon;
30.990;30990;Diverse övrig transportmedelstillverkning;
31.011;31011;Tillverkning av kontors- och butiksmöbler;
31.012;31012;Tillverkning av kontors- och butiksinredningar;
31.021;31021;Tillverkning av köksmöbler;
31.022;31022;Tillverkning av köksinredningar;
31.030;31030;Tillverkning av madrasser;
31.090;31090;Tillverkning av andra möbler;
32.110;32110;Prägling av mynt;
32.120;32120;Tillverkning av smycken, guld- och silversmedsvaror;
32.130;32130;Tillverkning av bijouterier o.d.;
32.200;32200;Tillverkning av musikinstrument;
32.300;32300;Tillverkning av sportartiklar;
32.400;32400;Tillverkning av spel och leksaker;
32.501;32501;Tillverkning av medicinska och dentala instrument och tillbehör;
32.502;32502;Tillverkning av tandproteser;
32.910;32910;Tillverkning av borstbinderiarbeten;
32.990;32990;Diverse övrig tillverkning;
33.110;33110;Reparation av metallvaror;
33.120;33120;Reparation av maskiner;
33.130;33130;Reparation av elektronisk och optisk utrustning;
33.140;33140;Reparation av elapparatur;
33.150;33150;Reparation och underhåll av fartyg och båtar;
33.160;33160;Reparation och underhåll av luftfartyg och rymdfarkoster;
33.170;33170;Reparation och underhåll av andra transportmedel;
33.190;33190;Reparation av annan utrustning;
33.200;33200;Installation av industrimaskiner och -utrustning;
35.110;35110;Generering av elektricitet;
35.120;35120;Överföring av elektricitet;
35.130;35130;Distribution av elektricitet;
35.140;35140;Handel med elektricitet;
35.210;35210;Framställning av gas;
35.220;35220;Distribution av gasformiga bränslen via rörnät;
35.230;35230;Handel med gas via rörnät;
35.300;35300;Försörjning av värme och kyla;
36.001;36001;Grundvattenförsörjning;
36.002;36002;Ytvattenförsörjning;
37.000;37000;Avloppsrening;
38.110;38110;Insamling av icke-farligt avfall;
38.120;38120;Insamling av farligt avfall;
38.210;38210;Behandling och bortskaffande av icke-farligt avfall;
38.220;38220;Behandling och bortskaffande av farligt avfall;
38.311;38311;Demontering av uttjänta fordon;
38.312;38312;Demontering av elektrisk och elektronisk utrustning;
38.319;38319;Demontering av övrig kasserad utrustning;
38.320;38320;Återvinning av källsorterat material;
39.000;39000;Sanering, efterbehandling av jord och vatten samt annan verksamhet för föroreningsbekämpning;
41.100;41100;Utformning av byggprojekt;
41.200;41200;Byggande av bostadshus och andra byggnader;
42.110;42110;Anläggning av vägar och motorvägar;
42.120;42120;Anläggning av järnvägar och tunnelbanor;
42.130;42130;Anläggning av broar och tunnlar;
42.210;42210;Allmännyttiga anläggningsarbeten för värme, vatten och avlopp;
42.220;42220;Anläggningsarbeten för el och telekommunikation;
42.910;42910;Vattenbyggnad;
42.990;42990;Övriga anläggningsarbeten;
43.110;43110;Rivning av hus och byggnader;
43.120;43120;Mark- och grundarbeten;
43.130;43130;Markundersökning;
43.210;43210;Elinstallationer;
43.221;43221;Värme- och sanitetsarbeten;
43.222;43222;Ventilationsarbeten;
43.223;43223;Kyl- och frysinstallationsarbeten;
43.229;43229;Övriga VVS-arbeten;
43.290;43290;Andra bygginstallationer;
43.310;43310;Puts-, fasad- och stuckatörsarbeten;
43.320;43320;Byggnadssnickeriarbeten;
43.330;43330;Golv- och väggbeläggningsarbeten;
43.341;43341;Måleriarbeten;
43.342;43342;Glasmästeriarbeten;
43.390;43390;Annan slutbehandling av byggnader;
43.911;43911;Takarbeten av plåt;
43.912;43912;Takarbeten av andra material än plåt;
43.991;43991;Uthyrning av bygg- och anläggningsmaskiner med förare;
43.999;43999;Diverse övrig specialiserad bygg- och anläggningsverksamhet;
45.110;45110;Handel med personbilar och lätta motorfordon;
45.191;45191;Handel med lastbilar, bussar och specialfordon;
45.192;45192;Handel med husvagnar, husbilar, släpfordon och påhängsvagnar;
45.201;45201;Allmän service och reparation av motorfordon utom motorcyklar;
45.202;45202;Plåt-, lack- och glasreparationer på motorfordon utom motorcyklar;
45.203;45203;Installationer och reparationer av elsystem till motorfordon utom motorcyklar;
45.204;45204;Däckservice;
45.310;45310;Parti- och provisionshandel med reservdelar och tillbehör till motorfordon utom motorcyklar;
45.320;45320;Detaljhandel med reservdelar och tillbehör till motorfordon utom motorcyklar;
45.400;45400;Handel med och service av motorcyklar inklusive reservdelar och tillbehör;
46.110;46110;Provisionshandel med jordbruksråvaror, levande djur, textilråvaror och textilhalvfabrikat;
46.120;46120;Provisionshandel med bränsle, malm, metaller och industrikemikalier;
46.130;46130;Provisionshandel med virke och byggmaterial;
46.141;46141;Provisionshandel med maskiner, industriell utrustning, fartyg och luftfartyg utom kontorsutrustning och datorer;
46.142;46142;Provisionshandel med kontorsutrustning och datorer;
46.150;46150;Provisionshandel med möbler, hushålls- och järnhandelsvaror;
46.160;46160;Provisionshandel med textilier, kläder, skodon och lädervaror;
46.170;46170;Provisionshandel med livsmedel, drycker och tobak;
46.180;46180;Provisionshandel med annat specialsortiment;
46.190;46190;Provisionshandel med blandat sortiment;
46.210;46210;Partihandel med spannmål, råtobak, utsäde och djurfoder;
46.220;46220;Partihandel med blommor och växter;
46.230;46230;Partihandel med levande djur;
46.240;46240;Partihandel med hudar, skinn och läder;
46.310;46310;Partihandel med frukt och grönsaker;
46.320;46320;Partihandel med kött- och köttvaror;
46.330;46330;Partihandel med mejeriprodukter, ägg, matolja och matfett;
46.340;46340;Partihandel med drycker;
46.350;46350;Partihandel med tobak;
46.360;46360;Partihandel med socker, choklad och sockerkonfektyrer;
46.370;46370;Partihandel med kaffe, te, kakao och kryddor;
46.380;46380;Partihandel med andra livsmedel, bl.a. fisk samt skal- och blötdjur;
46.390;46390;Icke specialiserad partihandel med livsmedel, drycker och tobak;
46.410;46410;Partihandel med textilier;
46.420;46420;Partihandel med kläder och skodon;
46.431;46431;Partihandel med elektriska hushållsmaskiner och -apparater;
46.432;46432;Partihandel med ljud- och bildanläggningar samt videoutrustning;
46.433;46433;Partihandel med inspelade band och skivor för musik och bild;
46.434;46434;Partihandel med elartiklar;
46.435;46435;Partihandel med fotografiska och optiska produkter;
46.440;46440;Partihandel med glas och porslin, rengöringsmedel;
46.450;46450;Partihandel med parfym och kosmetika;
46.460;46460;Partihandel med medicinsk utrustning och apoteksvaror;
46.470;46470;Partihandel med möbler, mattor och belysningsartiklar;
46.480;46480;Partihandel med ur och guldsmedsvaror;
46.491;46491;Partihandel med sport- och fritidsartiklar;
46.492;46492;Partihandel med kontorsförbrukningsvaror;
46.499;46499;Partihandel med övriga hushållsvaror;
46.510;46510;Partihandel med datorer och kringutrustning samt programvara;
46.521;46521;Partihandel med elektronikkomponenter;
46.522;46522;Partihandel med teleprodukter;
46.610;46610;Partihandel med jordbruksmaskiner och -utrustning;
46.620;46620;Partihandel med verktygsmaskiner;
46.630;46630;Partihandel med gruv-, bygg- och anläggningsmaskiner;
46.640;46640;Partihandel med textil-, sy- och stickmaskiner;
46.650;46650;Partihandel med kontorsmöbler;
46.660;46660;Partihandel med andra kontorsmaskiner och kontorsutrustning;
46.691;46691;Partihandel med mät- och precisionsinstrument;
46.692;46692;Partihandel med datoriserad materialhanteringsutrustning;
46.699;46699;Partihandel med diverse övriga maskiner och utrustning;
46.710;46710;Partihandel med bränslen;
46.720;46720;Partihandel med metaller och metallmalmer;
46.731;46731;Partihandel med virke och andra byggmaterial;
46.732;46732;Partihandel med sanitetsgods;
46.741;46741;Partihandel med järnhandelsvaror;
46.742;46742;Partihandel med VVS-varor;
46.750;46750;Partihandel med kemiska produkter;
46.761;46761;Partihandel med industriförnödenheter;
46.762;46762;Partihandel med emballage;
46.769;46769;Partihandel med övriga insatsvaror;
46.771;46771;Partihandel med uttjänta fordon;
46.772;46772;Partihandel med metallavfall och metallskrot;
46.773;46773;Partihandel med avfall och skrot av icke-metall;
46.900;46900;Övrig partihandel;
47.111;47111;Varuhus- och stormarknadshandel, mest livsmedel, drycker och tobak;
47.112;47112;Livsmedelshandel med brett sortiment, ej varuhus eller stormarknad;
47.191;47191;Annan varuhus- och stormarknadshandel;
47.199;47199;Övrig detaljhandel med brett sortiment;
47.210;47210;Specialiserad butikshandel med frukt och grönsaker;
47.220;47220;Specialiserad butikshandel med kött och charkuterier;
47.230;47230;Specialiserad butikshandel med fisk, skal- och blötdjur;
47.241;47241;Specialiserad butikshandel med bröd och konditorivaror;
47.242;47242;Specialiserad butikshandel med konfektyrer;
47.250;47250;Specialiserad butikshandel med alkoholhaltiga och andra drycker;
47.260;47260;Specialiserad butikshandel med tobaksvaror;
47.291;47291;Specialiserad butikshandel med hälsokost;
47.299;47299;Övrig specialiserad butikshandel med livsmedel;
47.300;47300;Specialiserad detaljhandel med drivmedel;
47.410;47410;Specialiserad butikshandel med datorer, programvara, data- och tv-spel;
47.420;47420;Specialiserad butikshandel med telekommunikationsutrustning;
47.430;47430;Specialiserad butikshandel med ljud- och bildanläggningar samt videoutrustning;
47.510;47510;Specialiserad butikshandel med textilier;
47.521;47521;Specialiserad butikshandel med virke och byggvaror;
47.522;47522;Specialiserad butikshandel med järn- och VVS-varor;
47.523;47523;Specialiserad butikshandel med färger, fernissor och lacker;
47.531;47531;Specialiserad butikshandel med mattor och annan vägg- och golvbeklädnad;
47.532;47532;Specialiserad butikshandel med inredningstextilier;
47.540;47540;Specialiserad butikshandel med elektriska hushållsmaskiner och hushållsapparater;
47.591;47591;Specialiserad butikshandel med möbler för hemmet;
47.592;47592;Specialiserad butikshandel med kontorsmöbler;
47.593;47593;Specialiserad butikshandel med glas, porslin och andra bosättningsvaror;
47.594;47594;Specialiserad butikshandel med belysningsartiklar;
47.595;47595;Specialiserad butikshandel med musikinstrument och noter;
47.610;47610;Specialiserad butikshandel med böcker;
47.621;47621;Specialiserad butikshandel med tidningar;
47.622;47622;Specialiserad butikshandel med kontorsförbrukningsvaror;
47.630;47630;Specialiserad butikshandel med inspelade och oinspelade band och skivor för musik och bild;
47.641;47641;Specialiserad butikshandel med sport- och fritidsartiklar utom cyklar och båtar;
47.642;47642;Specialiserad butikshandel med cyklar;
47.643;47643;Specialiserad butikshandel med båtar;
47.650;47650;Specialiserad butikshandel med spel och leksaker;
47.711;47711;Specialiserad butikshandel med herr-, dam- och barnkläder, blandat;
47.712;47712;Specialiserad butikshandel med herrkläder;
47.713;47713;Specialiserad butikshandel med damkläder;
47.714;47714;Specialiserad butikshandel med barnkläder;
47.715;47715;Specialiserad butikshandel med pälsar;
47.721;47721;Specialiserad butikshandel med skodon;
47.722;47722;Specialiserad butikshandel med väskor, reseffekter och lädervaror;
47.730;47730;Apotekshandel;
47.740;47740;Specialiserad butikshandel med sjukvårdsartiklar;
47.750;47750;Specialiserad butikshandel med kosmetika och hygienartiklar;
47.761;47761;Specialiserad butikshandel med blommor och andra växter, frön och gödselmedel;
47.762;47762;Specialiserad butikshandel med små sällskapsdjur;
47.771;47771;Specialiserad butikshandel med ur;
47.772;47772;Specialiserad butikshandel med guldsmedsvaror och smycken;
47.781;47781;Specialiserad butikshandel med glasögon och andra optiska artiklar utom fotoutrustning;
47.782;47782;Specialiserad butikshandel med fotoutrustning;
47.783;47783;Specialiserad butikshandel med konst samt galleriverksamhet;
47.784;47784;Specialiserad butikshandel med mynt och frimärken;
47.789;47789;Övrig specialiserad butikshandel;
47.791;47791;Specialiserad butikshandel med antikviteter och begagnade böcker;
47.792;47792;Specialiserad butikshandel med övriga begagnade varor;
47.793;47793;Auktioner i butik;
47.810;47810;Torg- och marknadshandel med livsmedel, drycker och tobak;
47.820;47820;Torg- och marknadshandel med textilier, kläder och skodon;
47.890;47890;Torg- och marknadshandel med övriga varor;
47.911;47911;Postorderhandel och detaljhandel på Internet med brett sortiment;
47.912;47912;Postorderhandel och detaljhandel på Internet med beklädnadsvaror;
47.913;47913;Postorderhandel och detaljhandel på Internet med böcker och andra mediavaror;
47.914;47914;Postorderhandel och detaljhandel på Internet med datorer och annan elektronisk utrustning;
47.915;47915;Postorderhandel och detaljhandel på Internet med sport- och fritidsutrustning;
47.916;47916;Postorderhandel och detaljhandel på Internet med bosättningsvaror;
47.917;47917;Auktioner på Internet;
47.919;47919;Postorderhandel och detaljhandel på Internet med övriga varor;
47.991;47991;Provisionsdetaljhandel (ej auktioner);
47.992;47992;Ambulerande och tillfällig handel med livsmedel;
47.993;47993;Ambulerande och tillfällig handel med övriga varor;
47.994;47994;Auktioner ej i butik eller på Internet;
47.999;47999;Övrig detaljhandel ej i butik;
